behavior_label,start_time,end_time,collection_key,subject
acquisition,15167.0,24733.0,20230803_101331_1_merged.rec,1.1
acquisition,27433.0,33833.0,20230803_101331_1_merged.rec,1.1
acquisition,69667.0,70367.0,20230803_101331_1_merged.rec,1.1
acquisition,84100.0,85400.0,20230803_101331_1_merged.rec,1.1
acquisition,118067.0,122367.0,20230803_101331_1_merged.rec,1.1
acquisition,164533.0,165367.0,20230803_101331_1_merged.rec,1.1
recall,1237154.35,1238354.35,20230803_101331_1_merged.rec,1.1
recall,1244821.35,1253821.35,20230803_101331_1_merged.rec,1.1
recall,1293921.35,1296488.35,20230803_101331_1_merged.rec,1.1
recall,1515854.35,1518721.35,20230803_101331_1_merged.rec,1.1
cagemate,1536554.35,1546354.35,20230803_101331_1_merged.rec,1.1
cagemate,1548688.35,1550254.35,20230803_101331_1_merged.rec,1.1
cagemate,1582388.35,1583354.35,20230803_101331_1_merged.rec,1.1
cagemate,1587654.35,1588454.35,20230803_101331_1_merged.rec,1.1
cagemate,1629088.35,1630254.35,20230803_101331_1_merged.rec,1.1
cagemate,1815588.35,1818554.35,20230803_101331_1_merged.rec,1.1
novel,1832021.35,1837154.35,20230803_101331_1_merged.rec,1.1
novel,1847288.35,1850321.35,20230803_101331_1_merged.rec,1.1
novel,1913654.35,1917554.35,20230803_101331_1_merged.rec,1.1
exposure 1,1237154.35,1238354.35,20230803_101331_1_merged.rec,1.1
exposure 1,1244821.35,1253821.35,20230803_101331_1_merged.rec,1.1
exposure 1,1293921.35,1296488.35,20230803_101331_1_merged.rec,1.1
exposure 1,1515854.35,1518721.35,20230803_101331_1_merged.rec,1.1
exposure 2,1536554.35,1546354.35,20230803_101331_1_merged.rec,1.1
exposure 2,1548688.35,1550254.35,20230803_101331_1_merged.rec,1.1
exposure 2,1582388.35,1583354.35,20230803_101331_1_merged.rec,1.1
exposure 2,1587654.35,1588454.35,20230803_101331_1_merged.rec,1.1
exposure 2,1629088.35,1630254.35,20230803_101331_1_merged.rec,1.1
exposure 2,1815588.35,1818554.35,20230803_101331_1_merged.rec,1.1
exposure 3,1832021.35,1837154.35,20230803_101331_1_merged.rec,1.1
exposure 3,1847288.35,1850321.35,20230803_101331_1_merged.rec,1.1
exposure 3,1913654.35,1917554.35,20230803_101331_1_merged.rec,1.1
acquisition,15900.0,16933.0,20230803_121318_1_merged.rec,1.4
acquisition,18933.0,19433.0,20230803_121318_1_merged.rec,1.4
acquisition,29167.0,33400.0,20230803_121318_1_merged.rec,1.4
acquisition,38067.0,45833.0,20230803_121318_1_merged.rec,1.4
acquisition,50733.0,52067.0,20230803_121318_1_merged.rec,1.4
acquisition,74000.0,74633.0,20230803_121318_1_merged.rec,1.4
acquisition,154000.0,157467.0,20230803_121318_1_merged.rec,1.4
acquisition,307000.0,312000.0,20230803_121318_1_merged.rec,1.4
acquisition,321467.0,322567.0,20230803_121318_1_merged.rec,1.4
acquisition,332233.0,334067.0,20230803_121318_1_merged.rec,1.4
acquisition,499867.0,500533.0,20230803_121318_1_merged.rec,1.4
recall,1543718.2999999998,1545384.2999999998,20230803_121318_1_merged.rec,1.4
recall,1548284.2999999998,1549084.2999999998,20230803_121318_1_merged.rec,1.4
recall,1554118.2999999998,1557118.2999999998,20230803_121318_1_merged.rec,1.4
recall,1567884.2999999998,1569784.2999999998,20230803_121318_1_merged.rec,1.4
recall,1618251.2999999998,1618818.2999999998,20230803_121318_1_merged.rec,1.4
recall,1796784.2999999998,1797384.2999999998,20230803_121318_1_merged.rec,1.4
cagemate,1845218.2999999998,1848751.2999999998,20230803_121318_1_merged.rec,1.4
cagemate,1861384.2999999998,1864584.2999999998,20230803_121318_1_merged.rec,1.4
cagemate,1873918.2999999998,1874818.2999999998,20230803_121318_1_merged.rec,1.4
cagemate,1885218.2999999998,1888417.2999999998,20230803_121318_1_merged.rec,1.4
cagemate,1977651.2999999998,1979951.2999999998,20230803_121318_1_merged.rec,1.4
novel,1243918.2999999998,1246084.2999999998,20230803_121318_1_merged.rec,1.4
novel,1262518.2999999998,1263218.2999999998,20230803_121318_1_merged.rec,1.4
novel,1270084.2999999998,1275284.2999999998,20230803_121318_1_merged.rec,1.4
novel,1341518.2999999998,1342284.2999999998,20230803_121318_1_merged.rec,1.4
novel,1378384.2999999998,1378951.2999999998,20230803_121318_1_merged.rec,1.4
novel,1412018.2999999998,1414118.2999999998,20230803_121318_1_merged.rec,1.4
novel,1422584.2999999998,1426518.2999999998,20230803_121318_1_merged.rec,1.4
novel,1461384.2999999998,1464884.2999999998,20230803_121318_1_merged.rec,1.4
exposure 1,1243918.2999999998,1246084.2999999998,20230803_121318_1_merged.rec,1.4
exposure 1,1262518.2999999998,1263218.2999999998,20230803_121318_1_merged.rec,1.4
exposure 1,1270084.2999999998,1275284.2999999998,20230803_121318_1_merged.rec,1.4
exposure 1,1341518.2999999998,1342284.2999999998,20230803_121318_1_merged.rec,1.4
exposure 1,1378384.2999999998,1378951.2999999998,20230803_121318_1_merged.rec,1.4
exposure 1,1412018.2999999998,1414118.2999999998,20230803_121318_1_merged.rec,1.4
exposure 1,1422584.2999999998,1426518.2999999998,20230803_121318_1_merged.rec,1.4
exposure 1,1461384.2999999998,1464884.2999999998,20230803_121318_1_merged.rec,1.4
exposure 2,1543718.2999999998,1545384.2999999998,20230803_121318_1_merged.rec,1.4
exposure 2,1548284.2999999998,1549084.2999999998,20230803_121318_1_merged.rec,1.4
exposure 2,1554118.2999999998,1557118.2999999998,20230803_121318_1_merged.rec,1.4
exposure 2,1567884.2999999998,1569784.2999999998,20230803_121318_1_merged.rec,1.4
exposure 2,1618251.2999999998,1618818.2999999998,20230803_121318_1_merged.rec,1.4
exposure 2,1796784.2999999998,1797384.2999999998,20230803_121318_1_merged.rec,1.4
exposure 3,1845218.2999999998,1848751.2999999998,20230803_121318_1_merged.rec,1.4
exposure 3,1861384.2999999998,1864584.2999999998,20230803_121318_1_merged.rec,1.4
exposure 3,1873918.2999999998,1874818.2999999998,20230803_121318_1_merged.rec,1.4
exposure 3,1885218.2999999998,1888417.2999999998,20230803_121318_1_merged.rec,1.4
exposure 3,1977651.2999999998,1979951.2999999998,20230803_121318_1_merged.rec,1.4
acquisition,7652.0,19667.0,20230803_141047_1_merged.rec,1.2
acquisition,30067.0,31233.0,20230803_141047_1_merged.rec,1.2
acquisition,34500.0,44867.0,20230803_141047_1_merged.rec,1.2
acquisition,80400.0,82000.0,20230803_141047_1_merged.rec,1.2
acquisition,85000.0,87733.0,20230803_141047_1_merged.rec,1.2
acquisition,93933.0,108267.0,20230803_141047_1_merged.rec,1.2
acquisition,114967.0,117667.0,20230803_141047_1_merged.rec,1.2
acquisition,121733.0,127067.0,20230803_141047_1_merged.rec,1.2
acquisition,135567.0,136333.0,20230803_141047_1_merged.rec,1.2
acquisition,146700.0,150800.0,20230803_141047_1_merged.rec,1.2
acquisition,178933.0,186500.0,20230803_141047_1_merged.rec,1.2
